policy,t_s,queue_p99_s,engine_p99_s,thrash_per_s
CLIMB,458.0,0.000705881118774414,0.04093581199645996,0.0
CLIMB,459.0,0.000693206787109375,0.040942234992980955,0.0
CLIMB,460.0,0.0006933450698852539,0.040945446491241454,1.0
CLIMB,461.0,0.0007157325744628906,0.04183778762817383,1.0
CLIMB,462.0,0.0007158517837524414,0.04420082569122315,2.0
CLIMB,463.0,0.0007158517837524414,0.04420082569122315,1.0
CLIMB,464.0,0.0007188606262207031,0.04412796974182129,1.0
CLIMB,465.0,0.0007189130783081055,0.04417654037475586,0.0
CLIMB,466.0,0.0007189130783081055,0.04417654037475586,0.0
CLIMB,467.0,0.0007189130783081055,0.04417654037475586,1.0
CLIMB,468.0,0.0007188868522644043,0.04415225505828858,1.0
CLIMB,469.0,0.0007188868522644043,0.04415225505828858,1.0
CLIMB,470.0,0.000718834400177002,0.044103684425354006,4.0
CLIMB,471.0,0.0007187557220458984,0.043889312744140624,3.0
CLIMB,472.0,0.0007187843322753907,0.040059018135070804,3.0
CLIMB,473.0,0.0007187557220458984,0.04002627611160278,2.0
CLIMB,474.0,0.0007151126861572266,0.03701691627502442,0.0
CLIMB,475.0,0.000760805606842041,0.04121252536773681,1.0
CLIMB,476.0,0.000760805606842041,0.04121252536773681,1.0
CLIMB,477.0,0.0007597804069519043,0.04118878841400146,3.0
CLIMB,478.0,0.0007602930068969727,0.04120065689086914,1.0
CLIMB,479.0,0.0007602596282958984,0.04117691993713379,2.0
CLIMB,480.0,0.0007609081268310547,0.04117691993713379,4.0
CLIMB,481.0,0.0009161233901977538,0.04120065689086914,1.0
CLIMB,482.0,0.0009161233901977538,0.04120065689086914,1.0
CLIMB,483.0,0.0011964702606201171,0.04377928733825683,0.0
